left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,0,22,69,42,0,0,0,0,0,0,0,0,0,0,148,74,0,0,0,0,0,0,0,0,0,0,270,61,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,119,170,53,0,0,0,0,0,0,0,0,0,0,85,51,0,0,0,0,0,0,0,0,0,0,60,67,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,forward
0,0,0,0,0,0,0,14,71,50,0,0,0,0,0,0,0,0,0,0,151,95,0,0,0,0,0,0,0,0,0,0,233,61,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,43,94,26,0,0,0,0,0,0,0,0,0,0,72,47,0,0,0,0,0,0,0,0,0,0,63,88,0,0,0,0,0,0,0,0,0,0,14,0,43,0,0,forward
0,0,0,0,0,0,0,0,84,68,0,0,0,0,0,0,0,0,0,0,145,94,0,0,0,0,0,0,0,0,0,0,168,34,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,57,7,0,0,0,0,0,0,0,0,0,0,67,51,0,0,0,0,0,0,0,0,0,0,72,100,0,0,0,0,0,0,0,0,0,0,28,0,54,0,0,forward
0,0,0,0,0,0,0,0,94,88,0,0,0,0,0,0,0,0,0,0,137,105,0,0,0,0,0,0,0,0,0,0,202,42,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,51,52,0,0,0,0,0,0,0,0,0,0,50,101,0,0,0,0,0,0,0,0,0,0,36,0,39,31,0,forward
0,0,0,0,0,0,0,0,64,67,0,12,0,0,0,0,0,0,0,0,83,74,0,0,0,0,0,0,0,0,0,0,283,86,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,38,43,0,0,0,0,0,0,0,0,0,0,41,105,0,16,0,0,0,0,0,0,0,0,40,0,25,80,0,forward
0,0,0,0,0,0,0,0,63,46,0,0,0,0,0,0,0,0,0,0,104,74,0,0,0,0,0,0,0,0,0,0,340,99,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0,0,0,0,0,0,0,0,70,135,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,forward
0,0,0,0,0,0,0,0,97,80,0,0,0,0,0,0,0,0,0,0,163,92,0,0,0,0,0,0,0,0,0,0,186,23,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,66,6,0,0,0,0,0,0,0,0,0,0,80,72,0,0,0,0,0,0,0,0,0,0,90,149,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,forward
0,70,68,0,0,0,0,0,0,0,0,0,0,205,118,0,0,0,0,0,0,0,0,0,0,194,141,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,203,78,13,0,0,5,7,36,0,0,0,0,72,60,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,14,187,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,backward
0,19,30,0,0,0,0,0,44,0,0,0,0,115,73,0,0,0,0,0,32,0,0,0,0,107,95,0,0,0,0,0,21,0,0,0,0,0,16,0,0,0,0,0,47,0,0,0,204,75,13,0,0,7,9,37,0,0,0,0,76,61,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,11,183,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,backward
0,0,16,0,0,0,0,0,42,0,0,0,0,150,87,0,0,0,0,0,33,6,0,0,0,185,134,0,0,0,0,0,26,0,0,0,0,24,30,0,0,0,0,0,23,0,0,0,226,81,15,0,0,8,16,38,0,0,0,0,72,63,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,11,150,8,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,backward
0,18,20,0,0,0,0,0,0,0,0,0,0,250,134,0,0,0,0,0,14,0,0,0,0,334,190,15,0,0,0,0,23,0,0,0,0,54,47,0,0,0,0,0,7,0,0,0,259,96,17,0,0,11,23,33,0,0,0,0,96,81,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
0,0,26,0,0,0,0,0,51,0,0,0,0,116,75,0,0,0,0,0,28,14,0,0,0,115,107,0,0,0,0,0,30,0,0,0,0,7,41,0,0,0,0,0,33,0,0,0,271,107,27,0,0,17,24,42,0,0,0,0,111,87,11,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
0,0,0,0,0,0,0,11,13,0,0,0,0,84,80,24,0,0,0,0,0,0,0,0,0,88,126,29,0,0,0,0,6,0,0,0,0,52,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,145,17,0,0,0,0,0,7,0,0,0,0,105,40,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,backward
