left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,label
0,189,236,80,0,0,0,0,0,0,0,0,0,101,260,139,0,0,0,0,0,0,0,0,0,0,185,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,0,0,0,0,0,0,0,0,0,0,281,127,48,0,0,0,0,33,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,backward
0,169,214,65,0,0,0,0,0,0,0,0,0,81,227,117,0,0,0,0,0,0,0,0,0,0,173,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,77,0,0,0,0,0,0,0,0,0,0,199,100,47,0,0,0,19,118,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,backward
0,71,179,82,0,0,0,6,52,0,0,0,0,13,169,97,13,0,0,0,17,0,0,0,0,0,147,53,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,65,17,0,0,0,0,12,0,0,0,0,171,92,53,0,0,0,26,191,0,0,0,0,0,45,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,36,28,0,0,0,backward
0,0,75,0,0,0,0,0,0,0,0,0,0,106,188,76,0,0,0,0,34,8,0,0,0,97,218,133,0,0,0,0,26,0,0,0,0,0,158,51,0,0,0,0,26,0,0,0,0,13,64,4,0,0,0,0,0,0,0,0,0,126,74,42,0,0,0,14,84,0,0,0,0,0,36,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,34,21,0,0,0,backward
0,0,49,0,0,0,0,0,0,0,0,0,0,73,147,53,0,0,0,0,33,19,0,0,0,71,184,109,0,0,0,0,38,0,0,0,0,0,95,15,0,0,0,0,23,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,140,77,41,0,0,0,14,102,0,0,0,0,0,37,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,50,41,0,0,0,backward
0,101,167,112,36,51,16,83,169,33,0,0,0,35,130,68,57,0,17,0,43,26,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,131,45,0,0,0,0,0,93,0,0,0,0,0,28,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,24,49,0,0,0,strafe_left
0,99,141,90,24,35,9,71,158,27,0,0,0,3,97,35,14,0,0,0,18,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,75,19,0,0,0,0,0,0,0,0,0,86,145,31,0,0,strafe_left
0,0,0,0,0,0,0,63,216,62,0,0,0,0,0,0,0,0,0,0,92,173,30,0,0,0,0,0,0,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,0,65,32,0,0,0,0,0,0,0,0,0,21,101,22,0,18,strafe_left
0,18,86,61,16,35,15,63,165,21,0,0,0,0,73,7,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,55,12,0,0,0,0,0,0,0,0,0,96,187,41,0,0,strafe_left
0,82,123,77,9,20,0,0,116,50,0,0,0,0,96,49,67,0,0,0,39,0,0,0,0,0,52,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,65,0,0,0,0,0,24,16,0,0,0,0,17,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,71,76,9,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,55,142,51,0,0,0,0,0,0,0,0,0,0,134,75,0,0,0,0,252,46,0,0,0,36,42,0,0,8,28,216,101,0,0,0,0,47,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,66,49,0,0,0,0,310,85,0,0,0,0,0,0,0,19,54,243,138,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,25,110,28,0,0,0,0,0,0,0,0,0,0,119,68,0,0,0,0,234,43,0,0,0,16,35,0,0,22,58,238,139,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,9,105,0,0,0,0,0,0,0,0,0,0,87,165,59,0,0,0,0,0,0,0,0,0,0,142,76,0,0,0,0,162,11,0,0,0,72,69,14,0,14,46,226,121,0,0,0,0,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
